index,time,mp1,mp2,mp3,mp4,mp5,mp6,mp7,mt1,mt2,mt3,mt4,mt5,mt6,mt7,dt
0,0,0.0,4.19424e-07,5.89623e-05,2.37287e-05,-2.4268e-05,5.64696e-05,5.68052e-05,-4.80568e-05,1.44289,0.661004,0.177441,0.732616,-0.146142,0.520986,0.175887,0.002
1,1,0.002,4.19424e-07,5.89623e-05,2.37287e-05,-2.4268e-05,5.64696e-05,5.68052e-05,-4.80568e-05,1.43518,0.666148,0.176097,0.740682,-0.143501,0.520319,0.176888,0.002
2,2,0.004,4.19424e-07,5.89623e-05,2.37287e-05,-2.4268e-05,5.6278e-05,5.68052e-05,-4.80568e-05,1.44032,0.658432,0.181474,0.740682,-0.145262,0.521654,0.175887,0.002
3,3,0.006,3.59538e-07,5.89623e-05,2.36688e-05,-2.43879e-05,5.6278e-05,5.68052e-05,-4.81765e-05,1.43775,0.65586,0.178785,0.735305,-0.142621,0.520986,0.177222,0.002
4,4,0.008,2.99651e-07,5.88426e-05,2.36688e-05,-2.4268e-05,5.6278e-05,5.68052e-05,-4.81765e-05,1.42746,0.658432,0.182818,0.73396,-0.14086,0.52132,0.176888,0.002
5,5,0.01,3.59538e-07,5.88426e-05,2.36688e-05,-2.43879e-05,5.64696e-05,5.68052e-05,-4.81765e-05,1.44032,0.676436,0.185506,0.73396,-0.145262,0.523323,0.177556,0.002
6,6,0.012,3.59538e-07,5.88426e-05,2.36688e-05,-2.43279e-05,5.64696e-05,5.68052e-05,-4.83563e-05,1.44032,0.666148,0.184162,0.724551,-0.150544,0.522321,0.17789,0.002
7,7,0.014,3.59538e-07,5.88426e-05,2.36688e-05,-2.43879e-05,5.6278e-05,5.66853e-05,-4.83563e-05,1.43775,0.661004,0.177441,0.732616,-0.147023,0.522321,0.175887,0.002
8,8,0.016,3.59538e-07,5.88426e-05,2.3609e-05,-2.43879e-05,5.6182e-05,5.66853e-05,-4.83563e-05,1.43775,0.673864,0.180129,0.735305,-0.142621,0.523323,0.177222,0.002
9,9,0.018,3.59538e-07,5.88426e-05,2.36688e-05,-2.43879e-05,5.6182e-05,5.66853e-05,-4.85361e-05,1.43003,0.666148,0.184162,0.731272,-0.14174,0.522655,0.176888,0.002
10,10,0.02,2.99651e-07,5.88426e-05,2.3609e-05,-2.43879e-05,5.64696e-05,5.65656e-05,-4.84762e-05,1.42232,0.661004,0.173408,0.73396,-0.150544,0.523656,0.176221,0.002
11,11,0.022,2.99651e-07,5.87826e-05,2.3609e-05,-2.43879e-05,5.6278e-05,5.65656e-05,-4.84762e-05,1.4326,0.66872,0.182818,0.732616,-0.144381,0.524324,0.177556,0.002
12,12,0.024,2.99651e-07,5.88426e-05,2.3609e-05,-2.43879e-05,5.6278e-05,5.65656e-05,-4.84762e-05,1.42746,0.65586,0.186851,0.73396,-0.14086,0.522321,0.177222,0.002
13,13,0.026,2.99651e-07,5.87826e-05,2.3549e-05,-2.44478e-05,5.64696e-05,5.65656e-05,-4.84762e-05,1.42232,0.65586,0.185506,0.731272,-0.146142,0.523323,0.174552,0.002
14,14,0.028,2.99651e-07,5.87826e-05,2.34891e-05,-2.45077e-05,5.6278e-05,5.65656e-05,-4.85961e-05,1.42489,0.65586,0.182818,0.737993,-0.14174,0.521988,0.176888,0.002
15,15,0.03,2.99651e-07,5.87227e-05,2.3549e-05,-2.45077e-05,5.6278e-05,5.65656e-05,-4.8656e-05,1.4326,0.671292,0.174752,0.735305,-0.145262,0.52399,0.178223,0.002
